time,latitude,longitude,altitude
6088521.23537474,-74.6143331727097,-74.6143331727097,65.5558902318589
6088522.25537472,-74.614260147457,-74.614260147457,65.5668826404726
6088523.2553747,-74.6141928157162,-74.6141928157162,65.5801491969032
6088524.25537467,-74.6141254076339,-74.6141254076339,65.5904492215486
6088525.25537465,-74.6140614427404,-74.6140614427404,65.6018215814838
6088526.25537463,-74.6139991194885,-74.6139991194885,65.6124162910273
6088527.25537461,-74.6139388427158,-74.6139388427158,65.6225328405853
6088528.25537458,-74.6138808629868,-74.6138808629868,65.6325819002232
6088529.25537456,-74.6138247517086,-74.6138247517086,65.6420526970178
